;BCmean;SOCmean;TCmean
3;3.67;19.85;23.53
6;7.3;17.99;25.29
9;6.31;9.4;15.71
12;-0.14;4.31;4.17
15;3.62;19.45;23.08
18;1.78;9.02;10.8
