;BCmean;SOCmean;TCmean
3;3.56;19.31;22.87
6;6.96;17.57;24.53
9;6.2;9.18;15.38
12;-2.05;4.21;2.16
15;3.87;18.97;22.84
18;1.98;8.79;10.77
