7	1	1	62500
8	1	1	63067
9	1	1	63633
10	1	1	64200
11	1	1	64760
12	1	1	65320
13	1	1	65880
14	1	1	66440
15	1	1	67000
16	1	1	67500
17	1	1	68000
18	1	1	68500
19	1	1	69000
20	1	1	69500
21	1	1	69900
22	1	1	70300
23	1	1	70700
24	1	1	71100
25	1	1	71500
7	1	3	309393400
8	1	3	309226600
9	1	3	309059800
10	1	3	308893000
11	1	3	308569600
12	1	3	308246200
13	1	3	307922800
14	1	3	307599400
15	1	3	307276000
16	1	3	306895480
17	1	3	306514960
18	1	3	306134440
19	1	3	305753920
20	1	3	305373400
21	1	3	305112960
22	1	3	304852520
23	1	3	304592080
24	1	3	304331640
25	1	3	304071200
7	1	4	3012500
8	1	4	3072367
9	1	4	3132233
10	1	4	3192100
11	1	4	3337560
12	1	4	3483020
13	1	4	3628480
14	1	4	3773940
15	1	4	3919400
16	1	4	4121280
17	1	4	4323160
18	1	4	4525040
19	1	4	4726920
20	1	4	4928800
21	1	4	5073440
22	1	4	5218080
23	1	4	5362720
24	1	4	5507360
25	1	4	5652000
7	1	5	1051600
8	1	5	1068833
9	1	5	1086067
10	1	5	1103300
11	1	5	1088820
12	1	5	1074340
13	1	5	1059860
14	1	5	1045380
15	1	5	1030900
16	1	5	1018820
17	1	5	1006740
18	1	5	994660
19	1	5	982580
20	1	5	970500
21	1	5	964720
22	1	5	958940
23	1	5	953160
24	1	5	947380
25	1	5	941600
7	1	6	1579400
8	1	6	1666467
9	1	6	1753533
10	1	6	1840600
11	1	6	1995220
12	1	6	2149840
13	1	6	2304460
14	1	6	2459080
15	1	6	2613700
16	1	6	2776800
17	1	6	2939900
18	1	6	3103000
19	1	6	3266100
20	1	6	3429200
21	1	6	3536000
22	1	6	3642800
23	1	6	3749600
24	1	6	3856400
25	1	6	3963200
7	1	7	17093000
8	1	7	17076333
9	1	7	17059667
10	1	7	17043000
11	1	7	17028740
12	1	7	17014480
13	1	7	17000220
14	1	7	16985960
15	1	7	16971700
16	1	7	16958920
17	1	7	16946140
18	1	7	16933360
19	1	7	16920580
20	1	7	16907800
21	1	7	16899780
22	1	7	16891760
23	1	7	16883740
24	1	7	16875720
