id	value
101	0
201	0
301	0
401	0
501	0
102	0
202	0
302	0
402	0
502	0
103	142425
203	160652
303	136510
403	100817
503	110663
104	3378
204	3115
304	6049
404	8477
504	3035
105	100054
205	56430
305	71133
405	144783
505	51947
106	3384
206	3080
306	941
406	5458
506	2978
107	5996
207	2218
307	6631
407	20974
507	9337
108	11105
208	11105
308	11105
408	11105
508	11105
109	11358
209	5053
309	13427
409	10204
509	5594
110	0
210	0
310	0
410	0
510	0
111	5211
211	1166
311	2787
411	962
511	1163
