7	1	1	62500
8	1	1	63067
9	1	1	63633
10	1	1	64200
11	1	1	64760
12	1	1	65320
13	1	1	65880
14	1	1	66440
15	1	1	67000
16	1	1	67500
17	1	1	68000
18	1	1	68500
19	1	1	69000
20	1	1	69500
21	1	1	69900
22	1	1	70300
23	1	1	70700
24	1	1	71100
25	1	1	71500
7	1	3	309393400
8	1	3	309229500
9	1	3	309065600
10	1	3	308901700
11	1	3	308568640
12	1	3	308235580
13	1	3	307902520
14	1	3	307569460
15	1	3	307236400
16	1	3	306896280
17	1	3	306556160
18	1	3	306216040
19	1	3	305875920
20	1	3	305535800
21	1	3	305309960
22	1	3	305084120
23	1	3	304858280
24	1	3	304632440
25	1	3	304406600
7	1	4	3012500
8	1	4	3068700
9	1	4	3124900
10	1	4	3181100
11	1	4	3327900
12	1	4	3474700
13	1	4	3621500
14	1	4	3768300
15	1	4	3915100
16	1	4	4091420
17	1	4	4267740
18	1	4	4444060
19	1	4	4620380
20	1	4	4796700
21	1	4	4912900
22	1	4	5029100
23	1	4	5145300
24	1	4	5261500
25	1	4	5377700
7	1	5	1051600
8	1	5	1067167
9	1	5	1082733
10	1	5	1098300
11	1	5	1085840
12	1	5	1073380
13	1	5	1060920
14	1	5	1048460
15	1	5	1036000
16	1	5	1027740
17	1	5	1019480
18	1	5	1011220
19	1	5	1002960
20	1	5	994700
21	1	5	1001720
22	1	5	1008740
23	1	5	1015760
24	1	5	1022780
25	1	5	1029800
7	1	6	1579400
8	1	6	1668433
9	1	6	1757467
10	1	6	1846500
11	1	6	2008860
12	1	6	2171220
13	1	6	2333580
14	1	6	2495940
15	1	6	2658300
16	1	6	2806260
17	1	6	2954220
18	1	6	3102180
19	1	6	3250140
20	1	6	3398100
21	1	6	3487920
22	1	6	3577740
23	1	6	3667560
24	1	6	3757380
25	1	6	3847200
7	1	7	17093000
8	1	7	17076333
9	1	7	17059667
10	1	7	17043000
11	1	7	17028460
12	1	7	17013920
13	1	7	16999380
14	1	7	16984840
15	1	7	16970300
16	1	7	16958660
17	1	7	16947020
18	1	7	16935380
19	1	7	16923740
20	1	7	16912100
21	1	7	16904920
22	1	7	16897740
23	1	7	16890560
24	1	7	16883380
