id	value
101	0
201	0
301	0
401	0
501	0
102	0
202	0
302	0
402	0
502	0
103	139534
203	151512
303	154314
403	200222
503	71348
104	6233
204	3306
304	9722
404	15072
504	1516
105	100538
205	55010
305	67251
405	150948
505	50401
106	4986
206	5140
306	6295
406	4622
506	6861
107	10871
207	14626
307	9548
407	29005
507	6151
108	11105
208	11105
308	11105
408	11105
508	11105
109	10356
209	4224
309	18708
409	6515
509	2365
110	0
210	0
310	0
410	0
510	0
111	2084
211	4084
311	2760
411	2565
511	2449
